"Title","Assigned To","Status","Priority","Due Date","Created","Type"
"Website Dark Mode Overhaul","[object Object]","completed","low","2026-06-13","2026-05-25T07:15:29.189Z","inhouse"
"Payment Gateway Gateways","[object Object]","sent-for-approval","urgent","2026-06-07","2026-05-24T07:15:29.189Z","client"
"Initial Keyword Seeding","[object Object]","pending","medium","2026-05-31","2026-05-22T07:15:29.189Z","client"
"Branding Assets Refactoring","[object Object]","completed","low","2026-05-28","2026-05-21T07:15:29.189Z","client"
"Internal CI/CD Pipeline Setup","[object Object]","sent-for-approval","high","2026-05-18","2026-05-14T07:15:29.189Z","inhouse"
"React Native Boilerplate Configuration","[object Object]","in-progress","high","2026-05-16","2026-05-11T07:15:29.189Z","client"
"API Route Implementations","[object Object]","completed","high","2026-05-11","2026-05-01T07:15:29.189Z","client"
"Competitor SEO Audit","[object Object]","completed","medium","2026-05-06","2026-05-01T07:15:29.189Z","client"
"UI Design Kit Creation","[object Object]","completed","medium","2026-04-21","2026-04-14T07:15:29.189Z","client"
"Database Schema Design","[object Object]","in-progress","high","2026-04-16","2026-04-11T07:15:29.189Z","client"